Company Name,Ticker
READYTECH HOLDINGS LIMITED,RDY
REGAL INVESTMENT FUND,RF1
RESPIRI LIMITED,RSH
REWARDLE HOLDINGS LIMITED,RXH
RLF AGTECH LTD,RLF
ROX RESOURCES LIMITED,RXL
RUMBLE RESOURCES LIMITED,RTR
SANTA FE MINERALS LTD,SFM
SARAMA RESOURCES LTD,SRR
SAYONA MINING LIMITED,SYA
SCOUT SECURITY LIMITED,SCT
SDI LIMITED,SDI
SEEK LIMITED,SEK
SIMONDS GROUP LIMITED,SIO
SRJ TECHNOLOGIES GROUP PLC,SRJ
STAR COMBO PHARMA LIMITED,S66
STEALTH GROUP HOLDINGS LTD,SGI
STOCKLAND,SGP
STRAKER LIMITED,STG
TAMBOURAH METALS LTD,TMB
TARTANA MINERALS LIMITED,TAT
TASMAN RESOURCES LTD,TAS
TEMPLE & WEBSTER GROUP LTD,TPW
TENNANT MINERALS LIMITED,TMS
TERRACOM LIMITED,TER
THE REJECT SHOP LIMITED,TRS
THOR ENERGY PLC,THR
TITOMIC LIMITED,TTT
TORRENS SERIES 2016-1 TRUST,TTZ
TRIANGLE ENERGY (GLOBAL) LIMITED,TEG
TRINEX MINERALS LIMITED,TX3
VERIS LIMITED,VRS
WESTGOLD RESOURCES LIMITED.,WGX
WIN METALS LTD,WIN
WORLEY LIMITED,WOR
XREALITY GROUP LTD,XRG
ZETA RESOURCES LIMITED,ZER
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ
ADAIRS LIMITED,ADH
ADAVALE RESOURCES LIMITED,ADD
ADSLOT LTD.,ADS
ADVANCE ZINCTEK LIMITED,ANO
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX
ALS LIMITED,ALQ
ALTAMIN LIMITED,AZI
ALTO METALS LIMITED,AME
ALUMINA LIMITED,AWC
ANSELL LIMITED,ANN
ANTERIS TECHNOLOGIES LTD,AVR
APPEN LIMITED,APX
ARIADNE AUSTRALIA LIMITED,ARA
ARUMA RESOURCES LIMITED,AAJ
AUDINATE GROUP LIMITED,AD8
AUSTRALIAN CRITICAL MINERALS LIMITED,ACM
AUSTRALIAN DAIRY NUTRITIONALS LIMITED,AHF
AUSTRALIAN MINES LIMITED,AUZ
BAPCOR LIMITED,BAP
BASTION MINERALS LIMITED,BMO
BATHURST RESOURCES LIMITED.,BRL
BEACH ENERGY LIMITED,BPT
BENDIGO AND ADELAIDE BANK LIMITED,BEN
BIOXYNE LIMITED,BXN
BOAB METALS LIMITED,BML
BOUNTY OIL & GAS NL,BUY
BROOKSIDE ENERGY LIMITED,BRK
CALIX LIMITED,CXL
CARINDALE PROPERTY TRUST,CDP
CASH CONVERTERS INTERNATIONAL,CCV
CASTILLO COPPER LIMITED,CCZ
CD PRIVATE EQUITY FUND I,CD1
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY
COBRE LIMITED,CBE
CONICO LTD,CNJ
CREDIT CLEAR LIMITED,CCR
CSL FINANCE PLC,CPL
DEEP YELLOW LIMITED,DYL
DESANE GROUP HOLDINGS LIMITED,DGH
DESIGN MILK CO LIMITED,DMC
DMC MINING LIMITED.,DMM
DREADNOUGHT RESOURCES LTD,DRE
EAST 33 LIMITED..,E33
ECP EMERGING GROWTH LIMITED,ECP
EDEN INNOVATIONS LTD,EDE
ELEVATE URANIUM LTD,EL8
EMU NL,EMU
ENGENCO LIMITED,EGN
ETHERSTACK PLC,ESK
